0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:43:41 +0800] "POST /Wlof/login.html HTTP/1.1" 200 1812
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:44:16 +0800] "GET /Wlof/login.htm HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:44:18 +0800] "GET /Wlof/login.htm HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:44:26 +0800] "GET /Wlof/login.html HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:44:26 +0800] "GET /Wlof/js/cookie_util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:44:26 +0800] "GET /Wlof/css/style/default/images/user.png HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:44:26 +0800] "GET /Wlof/css/style/default/images/password.png HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:44:28 +0800] "POST /Wlof/User/Login.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:44:28 +0800] "POST /Wlof/login.html HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:44:28 +0800] "GET /Wlof/bootstrap/js/jquery.min.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:44:50 +0800] "GET /Wlof/login.html HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:44:53 +0800] "POST /Wlof/login.html HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:44:53 +0800] "POST /Wlof/User/Login.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:44:54 +0800] "GET /Wlof/js/cookie_util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:44:58 +0800] "GET /Wlof/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:44:58 +0800] "GET /Wlof/bootstrap/js/jquery.min.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:44:59 +0800] "GET /Wlof/login.html HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:01 +0800] "GET /Wlof/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:01 +0800] "GET /Wlof/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:01 +0800] "GET /Wlof/js/jquery-1.11.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:01 +0800] "GET /Wlof/js/AllUrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:01 +0800] "GET /Wlof/js/cookie_util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:02 +0800] "GET /Wlof/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:02 +0800] "GET /Wlof/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:02 +0800] "GET /Wlof/js/AllUrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:02 +0800] "GET /Wlof/js/jquery-1.11.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:02 +0800] "GET /Wlof/js/cookie_util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:03 +0800] "POST /Wlof/login.html HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:03 +0800] "POST /Wlof/User/Login.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:37 +0800] "POST /Wlof/login.html HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:37 +0800] "GET /Wlof/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:37 +0800] "GET /Wlof/js/AllUrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:37 +0800] "GET /Wlof/js/cookie_util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:37 +0800] "GET /Wlof/js/jquery-1.11.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:38 +0800] "POST /Wlof/login.html HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:38 +0800] "POST /Wlof/User/Login.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:44 +0800] "POST /Wlof/login.html HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:44 +0800] "POST /Wlof/User/Login.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:46 +0800] "POST /Wlof/User/Login.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:46 +0800] "POST /Wlof/login.html HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:45:46 +0800] "GET /Wlof/bootstrap/js/jquery.min.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:46:07 +0800] "GET /Wlof/login.html HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:46:07 +0800] "GET /Wlof/js/cookie_util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:46:10 +0800] "POST /Wlof/User/Login.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:46:10 +0800] "POST /Wlof/login.html HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:46:13 +0800] "POST /Wlof/User/Login.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:46:13 +0800] "POST /Wlof/login.html HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:46:14 +0800] "POST /Wlof/login.html HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:46:14 +0800] "POST /Wlof/User/Login.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:46:17 +0800] "POST /Wlof/User/Login.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:46:17 +0800] "POST /Wlof/login.html HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:46:17 +0800] "GET /Wlof/bootstrap/js/jquery.min.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:46:27 +0800] "GET /Wlof/login.html HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:46:27 +0800] "GET /Wlof/css/style/default/images/user.png HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:46:27 +0800] "GET /Wlof/css/style/default/images/password.png HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:47:48 +0800] "GET /Wlof/login.html HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:47:48 +0800] "GET /Wlof/js/cookie_util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:47:48 +0800] "GET /Wlof/bootstrap/js/jquery.min.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:47:54 +0800] "GET /Wlof/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:47:54 +0800] "GET /Wlof/js/AllUrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:47:54 +0800] "GET /Wlof/js/cookie_util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:47:54 +0800] "GET /Wlof/bootstrap/js/jquery.min.js HTTP/1.1" 404 1013
